[02:05:09 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x1c2c49ae998396441501f8f30dc0126a153ab6fb0e0c9b30ae6b03ba3fe7cd81
[02:05:28 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x7773458140d42e9e1a857db404583ba30857dedb0fdbadb5b9811eb1ee66566e
[02:08:31 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[02:08:34 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:17 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x7b4f5efa5aa0ca143b1c7d5414ca3f696c26db40675c21e2fcd7d7598de2d891
[09:15:29 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x50cb82caf4b38c17f749b11776be06fb205bf9dbaa61acd3cd99ae8eb724decf
[09:18:36 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:18:44 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:01 | 14-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x38a898d9736d5ba99f6fc98bd57789c41080116792ec6d691f442cc2e70b4b0c
[09:15:13 | 14-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6de88d4f0f70462151b8a22b7b19e34fbd733974225b4d85cd5adfd2ffcac849
[09:18:16 | 14-02-2025] Transfer Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[09:18:19 | 14-02-2025] Bridge Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[08:08:58 | 15-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x9610be60d40727e150b918aac6c0d7411d5e6b3c7ebb8712bf3dd37138297178
[08:09:15 | 15-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x9ded3744e863df3fcd6489211efc5a40939daa235283f118b6acb0f6ba78d7c2
[08:13:58 | 15-02-2025] Transfer Task failed for 0xF99745aac0EEB7C04197327872514f2C6D9B8bEB: Request failed with status code 524
[08:14:48 | 15-02-2025] Bridge Task failed for 0xF99745aac0EEB7C04197327872514f2C6D9B8bEB: Request failed with status code 400
[09:22:39 | 16-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x57c290748f94263334ca347d60c25153d16442c76cd9448a402d631626c8c5c4
[09:22:50 | 16-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x46cfdd93bb1c2303644f9269306a89bc08c0cbaff2b3f022a4b00686d52e8466
[09:25:54 | 16-02-2025] Transfer Task successful for 0xF99745aac0EEB7C04197327872514f2C6D9B8bEB
[09:25:57 | 16-02-2025] Bridge Task successful for 0xF99745aac0EEB7C04197327872514f2C6D9B8bEB
[09:20:35 | 17-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xaf845e7d56be870dc8502324afde2556a8f588f3649bbfc32c7c2e297d6e0ec6
[09:21:03 | 17-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x7634f61f30ef89329ca11e85ad5f1be699533d933f4e39148d2d17ee3f9f91a8
